"Полуавтомат инверторный Дніпро-М MIG/MMA 210","Вес (кг): 16
Гарантия (мес): 24
Напряжение питания сети (В): 220
Номинальный сварочный ток (A): 20 - 210
Рабочий цикл (%): 60
Механизм подачи проволоки: встроенный
Скорость подачи проволоки (м / мин): 2.5 - 12
Диаметр ролика (мм): R <= 200
Диаметр проволоки (мм): 0.8 / 1.0 / 1.2","Краткое описание 
Сварочный инверторный полуавтомат Дніпро-М MIG/MMA 210 – универсальный аппарат, позволяющий работать как сварочной проволокой при постоянном токе, так и электродами диаметром до 4 мм. Сфера применения инвертора – качественная сварка ответственных конструкций: тонкостенные трубы, изделия из легированной и нержавеющей стали, кузов автомобиля и т.д. 
Полное описание 
Полуавтоматический инвертор MIG/MMA 210 нашел широкое применение в бытовом и профессиональном сегменте благодаря высокой скорости сварки, качественным сварочным швам и компактными габаритами и наличию выпрямителя сварочного тока. 
Сварочный ток регулируется в диапазонах от 20 до 210 А. Аппарат работает от бытовой электросети и оснащается встроенным механизмом подачи проволоки. Скорость подачи расходного материала составляет от 2.5 до 11 мм (при диаметре проволоки 0.8-1.2 мм). 
Универсальность и простота в эксплуатации достигнуты благодаря объединению двух типов сварки (механизированной и ручной) в одном корпусе, что позволяет выполнять ряд различных специализированных задач одним аппаратом. ","• Скорость подачи проволоки до 12м/мин 
• Возможность работы электродом 5 мм 
• Мощность 7.6 кВт 
• Качественный точный сварочный шов 
• Механизм подачи проволоки объединен с выпрямителем тока "
"Сварочный инвертор Дніпро-М ММА 250","Вес (кг): 7.3
Гарантия (мес): 24
Напряжение питания сети (В): 220
Номинальный сварочный ток (A): 250
Рабочий цикл (%): 60
Диапазон сварочного тока (A): 20 - 250
Потребляемая мощность (Вт): 8800
Диаметр электрода (мм): 1.6 - 5
Технология инвертора: IGBT
Цифровой дисплей: нет
Пластиковая панель: нет
Кейс для хранения: нет
Бренд: Дніпро-М","Краткое описание 
Сварочный инвертор Дніпро-М MMA 250 – стабильный и надежный в работе аппарат, отличающийся удобством в эксплуатации, легким воспламенением дуги и точным формированием сварочного шва. Инвертор на трехплатной конструкции способен функционировать при пониженном напряжении до 160 В от бытовой электросети. 
Полное описание 
Сварочный инвертор с применением технологии IGBT ММА 250 – одна из первых моделей в линейке Дніпро-М, которая заслужила доверие тысяч пользователей в бытовом сегменте. Потребляемая мощность аппарата составляет 8,8 кВт, а максимальная сила тока при сваривании металла составляет 250 А. Данные характеристики позволяют варить и резать металл электродами с диаметром до 5 мм.
Относительно легкий и бесшумный в работе сварочный инвертор MMA 250 оснащается мощным сетевым фильтром на 1880 мкФ с 4 конденсаторами, что позволяет работать в слабых сетях с просадкой напряжения до 160 В. 
Использование транзисторов технологии IGBT позволило увеличить мощность аппарата на 30%, что увеличивает общий ресурс и делает инвертор надежным и выносливым. За охлаждением основных элементов следит туннельная система обдува, таким образом все радиаторы находятся под прямым обдувом. ","• Объемный сетевой фильтр 2350 мкФ 
• Система охлаждения воздухом 
• HotStart и Anti Stick 
• Точное формирование сварочного шва 
• Возможность работы электродом 5 мм "
"Сварочный инвертор Дніпро-М ММА 250 В","Вес (кг): 8.6 
Гарантия (мес): 24 
Напряжение питания сети (В): 220 
Номинальный сварочный ток (A): 250 
Рабочий цикл (%): 60 
Диапазон сварочного тока (A): 20 - 250 
Потребляемая мощность (Вт): 8800 
Диаметр электрода (мм): 1.6 - 5 
Технология инвертора: IGBT 
Цифровой дисплей: нет 
Пластиковая панель: нет 
Кейс для хранения: есть 
Бренд: Дніпро-М","Краткое описание
Сварочный инвертор Дніпро-М MMA 250 В – стабильный в работе аппарат, отличающийся мощностью и удобством в работе, легким воспламенением дуги и отличным качеством сварочного шва. Инвертор комплектуется пластиковым кейсом, предназначенным для хранения и транспортировки.
Полное описание
Инструмент бытового сегмента от производителя Дніпро-М MMA 250 В – это мощный и эффективный в применении аппарат. Работает от бытовой электросети 220В и благодаря объемному сетевому фильтру (емкость 1880-2350 мкФ) не перегружает сеть, а также способен функционировать при низком напряжении до 160В. Вес аппарата составляет 8.6 кг, что значительно меньше, чем у трансформаторных предшественников, поэтому инвертором удобно работать на высоте или в труднодоступных местах. 
Инструмент имеет трехплатную конструкцию с современной туннельной системой охлаждения воздухом, что увеличивает надежность аппарата и его производительность. Диапазон сварочного тока составляет 30-250 А, что делает возможным варить и резать металл электродами диаметром до 5 мм.
Ряд дополнительных функций и систем, реализованных в модели, существенно упрощают работу в бытовых условиях. Быстрый поджиг электрода обеспечивается благодаря системе Hot Start, а проблема, связанная с залипанием электродов решается системой Anti Stick. Устойчивая дуга, равномерный и аккуратный шов и наличие пластикового кейса в комплекте сделали модель MMA 250 В одно из самых популярных в линейке Дніпро-М.","• Объемный сетевой фильтр 2350 мкФ 
• Система охлаждения воздухом 
• HotStart и Anti Stick 
• Точное формирование сварочного шва 
• Возможность работы электродом 5 мм "
"Сварочный инвертор Дніпро-М mini MMA 210","Вес (кг): 2.5 
Гарантия (мес): 24 
Напряжение питания сети (В): 220 
Номинальный сварочный ток (A): 200 
Рабочий цикл (%): 60 
Диапазон сварочного тока (A): 20 - 200 
Потребляемая мощность (Вт): 7600 
Диаметр электрода (мм): 1.6 - 4 
Технология инвертора: IGBT 
Цифровой дисплей: нет 
Пластиковая панель: нет 
Кейс для хранения: нет 
Бренд: Дніпро-М","Краткое описание
Сварочный инвертор Дніпро-М MMA 210 mini – идеальный инструмент для проведения сварочных работ, включая резку и наплавку металла в бытовых условиях. Один из самых компактных инструментов в линейке Дніпро-М, весом всего 2.5 кг, а также использованием транзисторов технологии IGBT, аппарат максимально прост и удобен в работе и транспортировке. 
Полное описание
Невероятно легкий вес всего в 2.5 кг и маленькие габаритные размеры (200*90*130 мм) инвертора позволяют осуществлять даже высотные работы и существенно упрощают его транспортировку. Кроме того аппарат MMA 210 mini обладает рядом полезных систем и функций, который делают работу с металлом еще комфортней.
В первую очередь стоит отметить встроенный функционал, упрощающий зажигание дуги и предотвращающий залипания электродов. Данные функции реализованы с помощью систем Hot Start и Anti Stick. Также как и его предшественники MMA 200 и 250, данный аппарат оснащается объемным сетевым фильтром с емкостью до 2350 мкФ, с 4 конденсаторами. 
Диапазон регулировки сварочного тока составляет от 20 до 210 А, что позволит Вам работать с электродом диаметром в 4 мм. Компактные габариты инвертора достигнуты благодаря новой технологии печати плат, при котором элементы располагаются максимально компактно, не теряя при этом производительность. ","• Компактные габариты и вес 2.5 кг 
• Легкая регулировка тока 
• Работа при напряжении до 160 В 
• Сетевой фильтр с 4 конденсаторами 
• HotStart Anti Stick "
"Сварочный инвертор Дніпро-М mini 260 MMA","Вес (кг): 2.95 
Гарантия (мес): 24 
Напряжение питания сети (В): 220 
Номинальный сварочный ток (A): 200 
Рабочий цикл (%): 60 
Диапазон сварочного тока (A): 20 - 200 
Потребляемая мощность (Вт): 8800 
Диаметр электрода (мм): 1.6 - 5 
Технология инвертора: IGBT 
Цифровой дисплей: нет 
Пластиковая панель: нет 
Кейс для хранения: нет 
Бренд: Дніпро-М","Краткое описание
Сварочный инвертор Дніпро-М MMA260 mini – функциональный и удобный в работе аппарат, который благодаря своей мощности и широкому диапазону сварочного тока (20-260 А) с легкостью справится с любыми задачами связанными с ручной дуговой сваркой по металлу. Вес инвертора менее 3 кг и компактные габариты сделали его удобным не только в использовании, но и в транспортировке. 
Полное описание
Одним из главных преимуществ инвертора 260 mini, наряду с его компактными габаритами и малым весом, являются отличные показатели производительности, силовые транзисторы технологии IGBT (на 30% больше мощности) и современная система охлаждения.
Сварочный инвертор mini 260 MMA работает в диапазоне электрического тока от 20 до 260А. За счет этого создается устойчивая электрическая дуга. Такие высокие показатели в работе допускают использование электродов диаметром до 5 мм для сварки и резки металла.
Аппарат оснащается сетевым фильтром с резервом емкости до 1880 мкФ, а также рядом полезных функций и систем: Hot Start и Anti Stick. Благодаря таким новшества работать с инвертором сможет даже неопытный сварщик: быстрое зажигание дуги и антизалипание электродов значительно облегчают выполнение бытовых задач.","• Функция горячего старта «Hotstart» 
• Система, которая предотвращает залипание электродов «Antistick» 
• Высокий коэффициент полезного действия
• Система охлаждения двигателя 
• Возможность работы электродом 5 мм "
"Бензопила цепная Дніпро-М БП-451","Вес (кг): 7.5 
Гарантия (мес): 12 
Мощность (Вт): 2800 
Комплектация: 1 шина, 1 цепь 
Система подачи масла: автоматическая 
Объем масляного бака (мл): 260 
Шаг цепи (дюйм): 0.325 
Длина шины (см): 45","Цепная бензопила Дніпро-М БП-451 применяется для заготовки дров или распила древесины в лесном и сельском хозяйствах, а так же является незаменимым помощником для работы в саду или на даче. 
Бензопила оснащена двухтактным бензиновым двигателем объемом 52 см. куб. и мощностью 2.8 кВт, что делает ее самой сильной из линейки бензопил Дніпро-М. 
Моторесурса бензопилы будет более чем достаточно для использования в любых бытовых условиях, а шина длиной в 45 см справится даже с толстыми деревьями различных пород. 
Бензопила Дніпро-М БП-451 оснащена автоматической подачей масла для смазки цепи, что обеспечивает повышенный ресурс узлов. Также очень удобная в эксплуатации система запуска ручным стартером, которая препятствует рывкам и облегчает запуск. Эффективная система воздушного охлаждения. ","• Оптимальное соотношение веса и мощности
• Прочный корпус
• Надежная и комфортная конструкция
• Габаритные размеры(без шины и цепи) 465x265x295 мм"
"Электропила ДНІПРО-М Проф ЕП-2240П (2,2кВт, 40см)","Вес (кг): 6
Гарантия (мес): 24
Мощность (Вт): 2200
Комплектация: 1 шина, 1 цепь
Система подачи масла: автоматическая
Объем масляного бака (мл): 400
Длина шины (см): 40
Двигатель: прямой","Электропила ""Днiпро-М"" ЭП-2440П – это не только качество, но и отличный современный дизайн. А благодаря эргономичной ручке, вы не будете уставать на протяжении долгого времени.Благодаря своему относительно маленькому весу (6 кг), пила не утяжеляет работу. Также, у нее есть уровень показателя масла, что очень важно при долгосрочном использовании инструмента. 
Одной из главных особенностей данной модели электропилы является эффективная система воздушного охлаждения, она предупреждает о перегреве аппарата. 
Электропила ""Днiпро-М"" ЭП-2440П поможет вам как дома, так и на работе. Она легка в эксплуатации и не требует особых навыков. Данная модель – качественный и относительно недорогой аппарат отечественного производства, настоящий помощник для настоящего хозяина ","• Медная обмотка ротора с 2-слойным защитным покрытием
• Шестерни редуктора изготовлены из стали
• Система быстрого натяжения цепи
• Показатель уровня масла
• Рычаг механического тормоза, защитный щит оберегает левую руку оператора во время работы
• Кованая ручка с резиновой вставкой"
"Бензиновый триммер Дніпро-М БТ-430","Тип: бензиновый
Мощность (Вт): 2200
Двигатель: 2-тактный, одноцилиндровый
Объем двигателя (см3): 43
Объем топливного бака (л): 0.9
Длина штанги (м): 1.5
Диаметр вращения лески (мм): 300-400
Диаметр вращения ножа (мм): 255
Скорость вращения (об/мин): 6500
Вес (кг): 7.5
Гарантия (мес): 6","Работы по скашиванию и подрезанию травы всегда занимают много времени, однако с бензиновым триммером БТ-430 от Дніпро-М они станут значительно проще. Этот аппарат поможет вам избавиться от сорняков и молодых стеблей деревьев, также, поможет привести в порядок заросший газон. 
Главным преимуществом бензинового триммера от электрического является его мобильность. С триммером БТ-430 можно работать как дома, так и на выезде, например на даче. Аппарат потребляет смесь бензина марки А-92 с маслом для 2-тактных двигателей. Благодаря своим небольшим габаритам, аппарат можно перевозить как вручную, так и в багажнике автомобиля. 
Объем двигателя инструмента составляет 43 см. куб, при этом, он способен развивать скорость до 6500 об/мин. Бензиновым триммер Дніпро-М БТ-430 легок в эксплуатации, а справиться с ним может даже непрофессионал. ","• Улучшенная антивибрационная система
• Экономная топливная система
• Увеличенный объем бензобака - 0.9 л
• Цельная штанга - 1500 мм
• 2 насадки - катушки с леской
• 2 металлических трехлепестковых ножа"
"Бензиновый триммер Дніпро-М БТ-433","Тип: бензиновый 
Мощность (Вт): 2400 
Двигатель: 2-х тактный 
Объем двигателя (см3): 43 
Объем топливного бака (л): 1.2 
Диаметр вращения лески (мм): 300-400 
Диаметр вращения ножа (мм): 255 
Скорость вращения (об/мин): 7000 
Вес (кг): 7.5 
Гарантия (мес): 6","Скашивание и подрезание различных видов травы лучше доверить надежному и эффективному инструменту. Таковым является бензиновый триммер Дніпро-М БТ-433, он отлично подойдет для очистки, как домашнего участка, так и территории возле офиса. 
Бензиновый триммер Дніпро-М БТ-433 развивает скорость до 7000 об/мин, имея 2-тактный бензиновый двигатель объемом 43 см3. Благодаря относительно легкому весу (7,5/8,5 кг), аппарат будет удобен в длительной эксплуатации, а компактность позволит совершать его транспортировку как вручную, так и с помощью автомобиля. Также, у данного инструмента отличная антивибрационная система, которая снижает вибрацию во время его работы и делает модель удобной и комфортной в использовании. ","• Улучшенная антивибрационная система
• Экономная топливная система
• Увеличенный объем бензобака - 1.2 л
• Цельная штанга - 1500 мм
• 2 ножа и 2 лески
• 2 высококачественные насадки-катушки с леской
• 2 металлических 3-лепестковых ножа"
"Мойка высокого давления ДНІПРО-М, АМ1600","Вес (кг): 6
Гарантия (мес): 12
Напряжение питания сети (В): 220
Мощность (Вт): 1600
Комплектация: съемный резервуар для моющего средства, пистолет высокого давления, шланг-3 м
Частота сети (Гц): 50
Габариты (см): 40.5 х 25 х 27.5
Давление (Бар): 105
Расход воды (л / мин): 6","Если вы любите чистоту и уют, то автомойка высокого давления АМ-1600 от ""Дніпро-М"" поможет вам достичь поставленных целей. Инструмент предназначен не только для мойки автомобилей, но и уборки во дворе. 
Автомойка высокого давления ""Дніпро-М"" АМ-1600 сможет очистить садовую технику либо стены домов за считанные секунды. Аппарат подает струю воды с давлением в 105 Бар, пользоваться им сможет даже аматор.
Отметим и экономичность техники, за минуту он потребляет 6 литров воды, а работает от электрической сети в 220 В. Автомойка удобна в эксплуатации, при весе 6 кг, она легко транспортируется. Корпус аппарата выполнен из прочного пластика, способного выдержать механическое воздействие.","• Прочный пластиковый корпус 
• Вес – 6 кг 
• Мощность двигателя - 1600 Вт "
